sitecode,type,Lat,Long,ori,PERMori
SB,m,-33.018908,17.950512,W,W
SY,m,-33.026701,17.960758,,W
SN,n,-33.071672,18.038446,,W
SM,m,-33.046315,18.04028,,W
TB,m,-33.909055,18.419893,W,W
HB,m,-34.049767,18.348042,S,W
HN,n,-34.049016,18.360954,W,W
MB,m,-34.178386,22.144918,S,S
MN,n,-34.299278,21.944026,S,S
KN,m,-34.041086,23.043592,S,S
NK,n,-34.05877,23.034025,S,S
CN,n,-34.212257,24.837625,S,S
PE,m,-33.96692,25.634461,S,S
BR,m,-33.679558,26.655841,S,E
PA,m,-33.593546,26.892084,E,E
EL,m,-33.024163,27.896269,E,E
DU,m,-29.862663,31.021903,E,E
DN,n,-29.81097,31.031642,E,E
DL,n,-29.648109,31.130441,E,E
RB,m,-28.793908,32.079184,E,E
RN,n,-28.827437,32.035825,E,E