,RowID,OTU,assignmentQual,taxID,superkingdom,phylum,class,order,family,genus,species,Status,AphiaID,Match type,Qualitystatus,ScientificName,AphiaID_accepted,ScientificName_accepted,Kingdom,Phylum,Class,Order,Family,Genus,Subgenus,Species,Subspecies,Citation
1401,2347,OTU_2366,High,6063,Eukaryota,Porifera,Demospongiae,Suberitida,Halichondriidae,Halichondria,Halichondria panicea,,,,,,,,,,,,,,,,,
1460,2449,OTU_2469,High,201961,Eukaryota,Chordata,Ascidiacea,Enterogona,Ascidiidae,Ascidiella,Ascidiella aspersa,nonnative,103718,exact,Checked by Taxonomic Editor,Ascidiella aspersa,103718,Ascidiella aspersa,Animalia,Chordata,Ascidiacea,Phlebobranchia,Ascidiidae,Ascidiella,,aspersa,,"Shenkar, N.; Gittenberger, A.; Lambert, G.; Rius, M.; Moreira da Rocha, R.; Swalla, B.J.; Turon, X. (2020). Ascidiacea World Database. Ascidiella aspersa (Müller, 1776). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=103718 on 2020-01-16"
1482,2479,OTU_2499,High,521029,Eukaryota,Chordata,Actinopteri,Clupeiformes,Clupeidae,Gilchristella,Gilchristella aestuaria,,,,,,,,,,,,,,,,,
1510,2516,OTU_2536,High,581059,Eukaryota,Chordata,Ascidiacea,Stolidobranchia,Styelidae,Polyandrocarpa,Polyandrocarpa zorritensis,nonnative,103895,exact,Checked by Taxonomic Editor,Polyandrocarpa zorritensis,103895,Polyandrocarpa zorritensis,Animalia,Chordata,Ascidiacea,Stolidobranchia,Styelidae,Polyandrocarpa,,zorritensis,,"Shenkar, N.; Gittenberger, A.; Lambert, G.; Rius, M.; Moreira da Rocha, R.; Swalla, B.J.; Turon, X. (2020). Ascidiacea World Database. Polyandrocarpa zorritensis (Van Name, 1931). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=103895 on 2020-01-16"
1553,26,OTU_26,High,38833,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,Micromonas pusilla,,,,,,,,,,,,,,,,,
1554,2580,OTU_2600,High,7658,Eukaryota,Echinodermata,Echinoidea,Echinoida,Echinidae,Parechinus,Parechinus angulosus,,,,,,,,,,,,,,,,,
1556,2582,OTU_2602,High,1476438,Eukaryota,Cnidaria,Hydrozoa,Leptothecata,Plumulariidae,Plumularia,Plumularia gaimardi,,,,,,,,,,,,,,,,,
1567,2598,OTU_2618,High,46524,Eukaryota,Echinodermata,Asteroidea,Valvatida,Asterinidae,Parvulastra,Parvulastra exigua,,,,,,,,,,,,,,,,,
1636,2695,OTU_2716,High,390825,Eukaryota,Mollusca,Bivalvia,Mytiloida,Mytilidae,Semimytilus,Semimytilus algosus,nonnative,224601,exact,Checked by Taxonomic Editor,Semimytilus algosus,224601,Semimytilus algosus,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Semimytilus,,algosus,,"MolluscaBase (2020). MolluscaBase. Semimytilus algosus (Gould, 1850). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=224601 on 2020-01-16"
1640,2700,OTU_2721,High,1588884,Eukaryota,,Phaeophyceae,Ectocarpales,Chordariaceae,Zeacarpa,Zeacarpa leiomorpha,,,,,,,,,,,,,,,,,
1656,2728,OTU_2749,High,89947,Eukaryota,Chordata,Actinopteri,Gadiformes,Merlucciidae,Merluccius,Merluccius capensis,,,,,,,,,,,,,,,,,
1657,272,OTU_275,High,650517,Eukaryota,Rhodophyta,Florideophyceae,Corallinales,Corallinaceae,Amphiroa,Amphiroa beauvoisii,,,,,,,,,,,,,,,,,
1662,2734,OTU_2755,High,216823,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,Skeletonema menzelii,,,,,,,,,,,,,,,,,
1684,2761,OTU_2782,High,637417,Eukaryota,Arthropoda,Hexanauplia,Sessilia,Balanidae,Amphibalanus,Amphibalanus eburneus,uncertain,421138,exact,Checked by Taxonomic Editor,Amphibalanus eburneus,421138,Amphibalanus eburneus,Animalia,Arthropoda,Hexanauplia,Sessilia,Balanidae,Amphibalanus,,eburneus,,"WoRMS (2020). Amphibalanus eburneus (Gould, 1841). Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=421138 on 2020-01-16"
1696,2781,OTU_2802,High,33659,Eukaryota,,Haptophyceae,Phaeocystales,Phaeocystaceae,Phaeocystis,Phaeocystis pouchetii,uncertain,115106,exact,Checked by Taxonomic Editor,Phaeocystis pouchetii,115106,Phaeocystis pouchetii,Chromista,Haptophyta,Prymnesiophyceae,Phaeocystales,Phaeocystaceae,Phaeocystis,,pouchetii,,"Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Phaeocystis pouchetii (Hariot) Lagerheim, 1896. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=115106 on 2020-01-16"
1703,278,OTU_281,High,756461,Eukaryota,Arthropoda,Hexanauplia,Sessilia,Balanidae,Balanus,Balanus trigonus,nonnative,106223,exact,Checked by Taxonomic Editor,Balanus trigonus,106223,Balanus trigonus,Animalia,Arthropoda,Hexanauplia,Sessilia,Balanidae,Balanus,,trigonus,,"WoRMS (2020). Balanus trigonus Darwin, 1854. Accessed at: http://marinespecies.org/aphia.php?p=taxdetails&id=106223 on 2020-01-16"
1730,282,OTU_285,High,756461,Eukaryota,Arthropoda,Hexanauplia,Sessilia,Balanidae,Balanus,Balanus trigonus,nonnative,106223,exact,Checked by Taxonomic Editor,Balanus trigonus,106223,Balanus trigonus,Animalia,Arthropoda,Hexanauplia,Sessilia,Balanidae,Balanus,,trigonus,,"WoRMS (2020). Balanus trigonus Darwin, 1854. Accessed at: http://marinespecies.org/aphia.php?p=taxdetails&id=106223 on 2020-01-16"
1741,2852,OTU_2874,High,299206,Eukaryota,,Katablepharidophyta,,Katablepharidaceae,Leucocryptos,Leucocryptos marina,,,,,,,,,,,,,,,,,
1746,2862,OTU_2884,High,439822,Eukaryota,Chordata,Ascidiacea,Stolidobranchia,Pyuridae,Microcosmus,Microcosmus squamiger,nonnative,236666,exact,Checked by Taxonomic Editor,Microcosmus squamiger,236666,Microcosmus squamiger,Animalia,Chordata,Ascidiacea,Stolidobranchia,Pyuridae,Microcosmus,,squamiger,,"Shenkar, N.; Gittenberger, A.; Lambert, G.; Rius, M.; Moreira da Rocha, R.; Swalla, B.J.; Turon, X. (2020). Ascidiacea World Database. Microcosmus squamiger Michaelsen, 1927. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=236666 on 2020-01-16"
1761,2883,OTU_2905,High,62808,Eukaryota,Chordata,Ascidiacea,Stolidobranchia,Styelidae,Botrylloides,Botrylloides leachii,nonnative,250081,exact,Checked by Taxonomic Editor,Botrylloides leachii,250081,Botrylloides leachii,Animalia,Chordata,Ascidiacea,Stolidobranchia,Styelidae,Botrylloides,,leachii,,"Shenkar, N.; Gittenberger, A.; Lambert, G.; Rius, M.; Moreira da Rocha, R.; Swalla, B.J.; Turon, X. (2020). Ascidiacea World Database. Botrylloides leachii (Savigny, 1816). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=250081 on 2020-01-16"
1798,2940,OTU_2962,High,216823,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,Skeletonema menzelii,,,,,,,,,,,,,,,,,
1799,2941,OTU_2963,High,326253,Eukaryota,Rhodophyta,Florideophyceae,Ceramiales,Ceramiaceae,Carpoblepharis,Carpoblepharis flaccida,,,,,,,,,,,,,,,,,
1842,2993,OTU_3016,High,1970216,Eukaryota,Bryozoa,Gymnolaemata,Ctenostomatida,Vesiculariidae,Amathia,Amathia cf. gracilis AW-2014,uncertain,111022,exact,Checked by Taxonomic Editor,Amathia,111022,Amathia,Animalia,Bryozoa,Gymnolaemata,Ctenostomatida,Vesiculariidae,Amathia,,,,"Bock, P.; Gordon, D. (2020). World List of Bryozoa. Amathia Lamouroux, 1812. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=111022 on 2020-01-16"
1880,3050,OTU_3076,High,390825,Eukaryota,Mollusca,Bivalvia,Mytiloida,Mytilidae,Semimytilus,Semimytilus algosus,nonnative,224601,exact,Checked by Taxonomic Editor,Semimytilus algosus,224601,Semimytilus algosus,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Semimytilus,,algosus,,"MolluscaBase (2020). MolluscaBase. Semimytilus algosus (Gould, 1850). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=224601 on 2020-01-16"
1882,304,OTU_308,High,884090,Eukaryota,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Pterosiphonia,Pterosiphonia cloiophylla,,,,,,,,,,,,,,,,,
1897,306,OTU_310,High,35128,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira pseudonana,uncertain,148934,exact,Edited by Database Management Team,Thalassiosira pseudonana,148934,Thalassiosira pseudonana,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,,pseudonana,,"Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2020). DiatomBase. Thalassiosira pseudonana Hasle & Heimdal, 1970. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=148934 on 2020-01-16"
1928,3121,OTU_3149,High,29158,Eukaryota,Mollusca,Bivalvia,Mytiloida,Mytilidae,Mytilus,Mytilus galloprovincialis,nonnative,140481,exact,Checked by Taxonomic Editor,Mytilus galloprovincialis,140481,Mytilus galloprovincialis,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Mytilus,,galloprovincialis,,"MolluscaBase eds. (2020). MolluscaBase. Mytilus galloprovincialis Lamarck, 1819. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=140481 on 2020-01-16"
1940,3135,OTU_3163,High,1664502,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,Pseudo-nitzschia sabit,,,,,,,,,,,,,,,,,
1957,3161,OTU_3189,High,464988,Eukaryota,Cryptophyta,,Cryptomonadales,Hemiselmidaceae,Hemiselmis,Hemiselmis andersenii,,,,,,,,,,,,,,,,,
1992,3217,OTU_3245,High,367925,Eukaryota,Cnidaria,Hydrozoa,Anthoathecata,Rathkeidae,Rathkea,Rathkea octopunctata,,,,,,,,,,,,,,,,,
2019,3257,OTU_3286,High,316203,Eukaryota,Cnidaria,Hydrozoa,Siphonophorae,Diphyidae,Muggiaea,Muggiaea atlantica,native,135441,exact,Checked by Taxonomic Editor,Muggiaea atlantica,135441,Muggiaea atlantica,Animalia,Cnidaria,Hydrozoa,Siphonophorae,Diphyidae,Muggiaea,,atlantica,,"Schuchert, P. (2020). World Hydrozoa Database. Muggiaea atlantica Cunningham, 1892. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=135441 on 2020-01-16"
2041,3285,OTU_3314,High,314517,Eukaryota,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Obelia,Obelia bidentata,nonnative,117385,exact,Checked by Taxonomic Editor,Obelia bidentata,117385,Obelia bidentata,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Obelia,,bidentata,,"Schuchert, P. (2020). World Hydrozoa Database. Obelia bidentata Clark, 1875. Accessed through: World Register of Marine Species at: http://marinespecies.org/aphia.php?p=taxdetails&id=117385 on 2020-01-16"
2050,3296,OTU_3325,High,172976,Eukaryota,Rhodophyta,Florideophyceae,Gracilariales,Gracilariaceae,Gracilariopsis,Gracilariopsis longissima,native,146960,exact,Checked by Taxonomic Editor,Gracilariopsis longissima,146960,Gracilariopsis longissima,Plantae,Rhodophyta,Florideophyceae,Gracilariales,Gracilariaceae,Gracilariopsis,,longissima,,"Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Gracilariopsis longissima (S.G.Gmelin) Steentoft, L.M.Irvine & Farnham, 1995. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=146960 on 2020-01-16"
2086,334,OTU_338,High,1141737,Eukaryota,Rhodophyta,Florideophyceae,Corallinales,Corallinaceae,Corallina,Corallina caespitosa,,,,,,,,,,,,,,,,,
2087,3351,OTU_3380,High,6063,Eukaryota,Porifera,Demospongiae,Suberitida,Halichondriidae,Halichondria,Halichondria panicea,,,,,,,,,,,,,,,,,
2093,3360,OTU_3389,High,390825,Eukaryota,Mollusca,Bivalvia,Mytiloida,Mytilidae,Semimytilus,Semimytilus algosus,nonnative,224601,exact,Checked by Taxonomic Editor,Semimytilus algosus,224601,Semimytilus algosus,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Semimytilus,,algosus,,"MolluscaBase (2020). MolluscaBase. Semimytilus algosus (Gould, 1850). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=224601 on 2020-01-16"
2102,3370,OTU_3399,High,2893,Eukaryota,,Phaeophyceae,Ectocarpales,Scytosiphonaceae,Petalonia,Petalonia fascia,,,,,,,,,,,,,,,,,
2117,338,OTU_342,High,41875,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae,Bathycoccus,Bathycoccus prasinos,,,,,,,,,,,,,,,,,
2136,3417,OTU_3447,High,990558,Eukaryota,Chordata,Actinopteri,Atheriniformes,Atherinidae,Atherina,Atherina breviceps,,,,,,,,,,,,,,,,,
2142,3424,OTU_3454,High,884090,Eukaryota,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Pterosiphonia,Pterosiphonia cloiophylla,,,,,,,,,,,,,,,,,
2144,3428,OTU_3458,High,265564,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira punctigera,uncertain,148936,exact,Edited by Database Management Team,Thalassiosira punctigera,148941,Ethmodiscus punctiger,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,,punctigera,,"Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2020). DiatomBase. Thalassiosira punctigera (Castracane) Hasle, 1983. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=148936 on 2020-01-16"
2183,3472,OTU_3502,High,39447,Eukaryota,,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,Gymnodinium catenatum,nonnative,109784,exact,Checked by Taxonomic Editor,Gymnodinium catenatum,109784,Gymnodinium catenatum,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,,catenatum,,"Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Gymnodinium catenatum H.W.Graham, 1943. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=109784 on 2020-01-16"
2197,348,OTU_352,High,110520,Eukaryota,Arthropoda,Hexanauplia,Sessilia,Balanidae,Balanus,Balanus glandula,native,394848,exact,Checked by Taxonomic Editor,Balanus glandula,394848,Balanus glandula,Animalia,Arthropoda,Hexanauplia,Sessilia,Balanidae,Balanus,,glandula,,"WoRMS (2020). Balanus glandula Darwin, 1854. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=394848 on 2020-01-16"
2201,3494,OTU_3524,High,38833,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,Micromonas pusilla,,,,,,,,,,,,,,,,,
2215,3511,OTU_3541,High,201961,Eukaryota,Chordata,Ascidiacea,Enterogona,Ascidiidae,Ascidiella,Ascidiella aspersa,nonnative,103718,exact,Checked by Taxonomic Editor,Ascidiella aspersa,103718,Ascidiella aspersa,Animalia,Chordata,Ascidiacea,Phlebobranchia,Ascidiidae,Ascidiella,,aspersa,,"Shenkar, N.; Gittenberger, A.; Lambert, G.; Rius, M.; Moreira da Rocha, R.; Swalla, B.J.; Turon, X. (2020). Ascidiacea World Database. Ascidiella aspersa (Müller, 1776). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=103718 on 2020-01-16"
2257,3569,OTU_3600,High,29158,Eukaryota,Mollusca,Bivalvia,Mytiloida,Mytilidae,Mytilus,Mytilus galloprovincialis,nonnative,140481,exact,Checked by Taxonomic Editor,Mytilus galloprovincialis,140481,Mytilus galloprovincialis,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Mytilus,,galloprovincialis,,"MolluscaBase eds. (2020). MolluscaBase. Mytilus galloprovincialis Lamarck, 1819. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=140481 on 2020-01-16"
2273,3591,OTU_3622,High,10212,Eukaryota,Bryozoa,Gymnolaemata,Cheilostomatida,Bugulidae,Bugula,Bugula neritina,nonnative,111158,exact,Checked by Taxonomic Editor,Bugula neritina,111158,Bugula neritina,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Bugulidae,Bugula,,neritina,,"Bock, P.; Gordon, D. (2020). World List of Bryozoa. Bugula neritina (Linnaeus, 1758). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=111158 on 2020-01-16"
2301,3633,OTU_3664,High,216823,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,Skeletonema menzelii,,,,,,,,,,,,,,,,,
2339,3691,OTU_3722,High,1226277,Eukaryota,Arthropoda,Hexanauplia,Sessilia,Tetraclitidae,Tetraclita,Tetraclita serrata,,,,,,,,,,,,,,,,,
2358,3716,OTU_3747,High,380003,Eukaryota,Mollusca,Gastropoda,Neogastropoda,Nassariidae,Nassarius,Nassarius kraussianus,,,,,,,,,,,,,,,,,
2359,3717,OTU_3748,High,1003790,Eukaryota,Chordata,Actinopteri,Lutjaniformes,Haemulidae,Pomadasys,Pomadasys commersonnii,,,,,,,,,,,,,,,,,
2372,3736,OTU_3767,High,164055,Eukaryota,Rhodophyta,Florideophyceae,Halymeniales,Halymeniaceae,Pachymenia,Pachymenia carnosa,,,,,,,,,,,,,,,,,
2447,3849,OTU_3881,High,119742,Eukaryota,Chordata,Actinopteri,Spariformes,Sparidae,Pterogymnus,Pterogymnus laniarius,,,,,,,,,,,,,,,,,
2484,3899,OTU_3931,High,698476,Eukaryota,,Phaeophyceae,Ectocarpales,Scytosiphonaceae,Endarachne,Endarachne binghamiae,native,146307,exact,Checked by Taxonomic Editor,Endarachne binghamiae,499665,Petalonia binghamiae,Chromista,Ochrophyta,Phaeophyceae,Ectocarpales,Scytosiphonaceae,Endarachne,,binghamiae,,"Guiry, M.D. & Guiry, G.M. (2019). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Endarachne binghamiae J.Agardh, 1896. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=146307 on 2020-01-16"
2538,3987,OTU_4022,High,37520,Eukaryota,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Obelia,Obelia dichotoma,nonnative,117386,exact,Checked by Taxonomic Editor,Obelia dichotoma,117386,Obelia dichotoma,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Obelia,,dichotoma,,"Schuchert, P. (2020). World Hydrozoa Database. Obelia dichotoma (Linnaeus, 1758). Accessed through: World Register of Marine Species at: http://marinespecies.org/aphia.php?p=taxdetails&id=117386 on 2020-01-16"
2547,399,OTU_404,High,756461,Eukaryota,Arthropoda,Hexanauplia,Sessilia,Balanidae,Balanus,Balanus trigonus,nonnative,106223,exact,Checked by Taxonomic Editor,Balanus trigonus,106223,Balanus trigonus,Animalia,Arthropoda,Hexanauplia,Sessilia,Balanidae,Balanus,,trigonus,,"WoRMS (2020). Balanus trigonus Darwin, 1854. Accessed at: http://marinespecies.org/aphia.php?p=taxdetails&id=106223 on 2020-01-16"
2549,4007,OTU_4042,High,1880939,Eukaryota,Annelida,Polychaeta,Spionida,Spionidae,Polydora,Polydora lingshuiensis,,,,,,,,,,,,,,,,,
2577,4046,OTU_4081,High,387435,Eukaryota,,Dinophyceae,Gymnodiniales,Kareniaceae,Takayama,Takayama acrotrocha,,,,,,,,,,,,,,,,,
2581,4052,OTU_4087,High,192963,Eukaryota,Arthropoda,Malacostraca,Isopoda,Cirolanidae,Bathynomus,Bathynomus giganteus,,,,,,,,,,,,,,,,,
2590,405,OTU_410,High,756461,Eukaryota,Arthropoda,Hexanauplia,Sessilia,Balanidae,Balanus,Balanus trigonus,nonnative,106223,exact,Checked by Taxonomic Editor,Balanus trigonus,106223,Balanus trigonus,Animalia,Arthropoda,Hexanauplia,Sessilia,Balanidae,Balanus,,trigonus,,"WoRMS (2020). Balanus trigonus Darwin, 1854. Accessed at: http://marinespecies.org/aphia.php?p=taxdetails&id=106223 on 2020-01-16"
2593,4069,OTU_4104,High,195081,Eukaryota,Chordata,Actinopteri,Blenniiformes,Blenniidae,Parablennius,Parablennius pilicornis,,,,,,,,,,,,,,,,,
2596,4074,OTU_4109,High,1562161,Eukaryota,Arthropoda,Hexanauplia,Sessilia,Balanidae,Perforatus,Perforatus perforatus,,,,,,,,,,,,,,,,,
2597,406,OTU_411,High,49249,Eukaryota,Bacillariophyta,Mediophyceae,Lithodesmiales,Lithodesmiaceae,Ditylum,Ditylum brightwellii,native,149023,exact,Edited by Database Management Team,Ditylum brightwellii,149023,Ditylum brightwellii,Chromista,Ochrophyta,Bacillariophyceae,Lithodesmiales,Lithodesmiaceae,Ditylum,,brightwellii,,"Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2020). DiatomBase. Ditylum brightwellii (T.West) Grunow, 1885. Accessed through: World Register of Marine Species at: http://marinespecies.org/aphia.php?p=taxdetails&id=149023 on 2020-01-16"
2608,4095,OTU_4131,High,190707,Eukaryota,,Phaeophyceae,Ectocarpales,Chordariaceae,Myrionema,Myrionema balticum,,,,,,,,,,,,,,,,,
2638,4148,OTU_4184,High,159643,Eukaryota,Mollusca,Gastropoda,,Planorbidae,Bulinus,Bulinus umbilicatus,,,,,,,,,,,,,,,,,
2639,4149,OTU_4185,High,2202240,Eukaryota,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Streblocladia,Streblocladia camptoclada,,,,,,,,,,,,,,,,,
2661,4186,OTU_4222,High,283780,Eukaryota,Annelida,Polychaeta,Sabellida,Serpulidae,Ficopomatus,Ficopomatus enigmaticus,nonnative,130988,exact,Checked by Taxonomic Editor,Ficopomatus enigmaticus,130988,Ficopomatus enigmaticus,Animalia,Annelida,Polychaeta,Sabellida,Serpulidae,Ficopomatus,,enigmaticus,,"Read, G.; Fauchald, K. (Ed.) (2020). World Polychaeta database. Ficopomatus enigmaticus (Fauvel, 1923). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=130988 on 2020-01-16"
2670,4197,OTU_4233,High,173546,Eukaryota,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Polysiphonia,Polysiphonia virgata,,,,,,,,,,,,,,,,,
2698,4239,OTU_4275,High,401952,Eukaryota,Cnidaria,Hydrozoa,Leptothecata,Aglaopheniidae,Aglaophenia,Aglaophenia parvula,,,,,,,,,,,,,,,,,
2702,4244,OTU_4280,High,464653,Eukaryota,Rhodophyta,Florideophyceae,Corallinales,Corallinaceae,Cheilosporum,Cheilosporum cultratum,,,,,,,,,,,,,,,,,
2709,4256,OTU_4292,High,1320687,Eukaryota,Echinodermata,Crinoidea,Comatulida,Antedonidae,Annametra,Annametra occidentalis,,,,,,,,,,,,,,,,,
2718,4276,OTU_4312,High,87982,Eukaryota,Mollusca,Gastropoda,,Patellidae,Scutellastra,Scutellastra granularis,,,,,,,,,,,,,,,,,
2726,4293,OTU_4330,High,43926,Eukaryota,,Eustigmatophyceae,Eustigmatales,Monodopsidaceae,Nannochloropsis,Nannochloropsis granulata,,,,,,,,,,,,,,,,,
2739,4317,OTU_4354,High,39447,Eukaryota,,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,Gymnodinium catenatum,nonnative,109784,exact,Checked by Taxonomic Editor,Gymnodinium catenatum,109784,Gymnodinium catenatum,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,,catenatum,,"Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Gymnodinium catenatum H.W.Graham, 1943. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=109784 on 2020-01-16"
2794,4394,OTU_4431,High,128124,Eukaryota,Cnidaria,Hydrozoa,Limnomedusae,Olindiidae,Craspedacusta,Craspedacusta sowerbii,,,,,,,,,,,,,,,,,
